Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2009-05-29,4.8503570556640625,49.939998626708984,24.850000381469727,44.849998474121094,35.459999084472656,9.487500190734863,18.5,66.66999816894531,24.219999313354492,,144.57000732421875,23.15999984741211,31.613733291625977,101.60611724853516,15.720000267028809,55.15999984741211,36.900001525878906,24.579999923706055,58.9900016784668,57.099998474121094,26.31679344177246,20.889999389648438,14.262499809265137,51.939998626708984,40.65999984741211,26.600000381469727,16.927499771118164,27.4426326751709,29.790000915527344,49.7400016784668
2009-06-01,4.976786136627197,50.099998474121094,25.989999771118164,47.70000076293945,37.54999923706055,9.944999694824219,19.5,69.20999908447266,25.030000686645508,,144.3300018310547,24.15999984741211,33.70161437988281,103.60420989990234,16.5,55.779998779296875,36.11000061035156,24.510000228881836,59.849998474121094,59.290000915527344,26.269084930419922,21.399999618530273,14.8149995803833,53.36000061035156,41.90999984741211,27.5,16.665000915527344,27.433252334594727,31.139999389648438,50.59000015258789
2009-06-02,4.981785774230957,50.72999954223633,24.709999084472656,49.20000076293945,37.45000076293945,9.8149995803833,19.610000610351562,69.3499984741211,25.1299991607666,,143.1300048828125,24.5,33.549072265625,102.13192749023438,16.190000534057617,56.209999084472656,34.5,24.829999923706055,60.380001068115234,59.959999084472656,26.431297302246094,21.399999618530273,14.457500457763672,53.709999084472656,42.97999954223633,28.100000381469727,16.702499389648438,27.73337745666504,31.6200008392334,49.93000030517578
2009-06-03,5.033928871154785,51.91999816894531,24.479999542236328,48.369998931884766,36.65999984741211,9.819999694824219,19.360000610351562,68.26000213623047,25.079999923706055,,142.14999389648438,24.3700008392334,33.053321838378906,101.806884765625,15.9399995803833,56.15999984741211,33.97999954223633,24.545000076293945,60.9900016784668,59.5,26.326335906982422,21.729999542236328,14.542499542236328,53.810001373291016,42.70000076293945,27.5,17.0575008392334,27.75213623046875,31.280000686645508,50.880001068115234
2009-06-04,5.133571147918701,51.0099983215332,25.25,50.56999969482422,38.02000045776367,9.817500114440918,19.670000076293945,69.79000091552734,25.139999389648438,,149.47000122070312,24.56999969482422,33.8255500793457,101.65392303466797,16.1299991607666,55.84000015258789,35.349998474121094,24.8799991607666,60.2400016784668,59.849998474121094,25.362594604492188,21.829999923706055,14.385000228881836,53.349998474121094,43.619998931884766,27.270000457763672,17.3799991607666,27.73337745666504,30.93000030517578,50.869998931884766
2009-06-05,5.166786193847656,50.88999938964844,24.950000762939453,52.650001525878906,38.470001220703125,9.782500267028809,19.8700008392334,69.37000274658203,24.950000762939453,,149.00999450683594,24.170000076293945,34.054359436035156,102.5239028930664,15.920000076293945,55.93000030517578,34.54999923706055,24.719999313354492,59.869998931884766,60.939998626708984,24.875953674316406,22.139999389648438,14.572500228881836,53.18000030517578,43.75,27.100000381469727,17.31999969482422,27.433252334594727,30.829999923706055,51.06999969482422
2009-06-08,5.137499809265137,50.91999816894531,25.649999618530273,52.83000183105469,38.56999969482422,9.677499771118164,19.8700008392334,69.58000183105469,25.329999923706055,,148.35000610351562,24.559999465942383,34.006690979003906,102.76290893554688,15.920000076293945,55.630001068115234,35.38999938964844,24.690000534057617,58.720001220703125,60.689998626708984,24.742366790771484,22.049999237060547,14.5,53.13999938964844,43.91999816894531,26.049999237060547,17.450000762939453,27.461389541625977,31.299999237060547,50.810001373291016
2009-06-09,5.097143173217773,50.75,26.93000030517578,52.349998474121094,38.2400016784668,9.895000457763672,20.079999923706055,70.19000244140625,25.329999923706055,,149.30999755859375,24.350000381469727,34.054359436035156,103.38432312011719,16.420000076293945,55.70000076293945,35.2599983215332,24.545000076293945,59.08000183105469,60.34000015258789,24.54198455810547,22.079999923706055,14.664999961853027,52.40999984741211,44.040000915527344,25.979999542236328,17.157499313354492,27.592693328857422,31.110000610351562,50.61000061035156
2009-06-10,5.0089287757873535,50.11000061035156,26.690000534057617,52.29999923706055,37.619998931884766,9.992500305175781,19.950000762939453,70.22000122070312,25.100000381469727,,146.67999267578125,24.389999389648438,33.93995666503906,103.5850830078125,16.459999084472656,55.65999984741211,34.84000015258789,24.204999923706055,58.36000061035156,60.459999084472656,24.417938232421875,22.549999237060547,14.262499809265137,52.08000183105469,43.77000045776367,25.729999542236328,17.3174991607666,27.69586181640625,30.989999771118164,50.060001373291016
2009-06-11,4.998213768005371,49.880001068115234,25.6299991607666,50.65999984741211,37.61000061035156,10.399999618530273,20.100000381469727,71.9000015258789,25.229999542236328,,145.14999389648438,24.229999542236328,34.12109375,104.58891296386719,16.350000381469727,56.04999923706055,34.939998626708984,24.290000915527344,57.66999816894531,60.58000183105469,24.99045753479004,22.829999923706055,14.154999732971191,52.0099983215332,43.56999969482422,24.049999237060547,16.68000030517578,27.902198791503906,30.93000030517578,49.31999969482422
